FFT Dimension (GHz),Re( S11 ),Im( S11 )
0.078193816,-0.781751752,0.624922633
0.078317152,-0.781068742,0.625766337
0.078440488,-0.780384958,0.626609266
0.078563816,-0.7797001,0.627451479
0.078687152,-0.77901423,0.628293037
0.078810488,-0.778327346,0.629133582
0.078933824,-0.777639687,0.629973471
0.07905716,-0.776950717,0.630812645
0.079180488,-0.77626121,0.631651044
0.079303824,-0.775570691,0.632488728
0.07942716,-0.774879038,0.633325577
0.079550496,-0.774186611,0.634161651
0.079673824,-0.77349323,0.634996951
0.07979716,-0.772798896,0.635831535
0.079920496,-0.772103429,0.636665344
0.080043832,-0.771407306,0.637498379
0.08016716,-0.770710051,0.638330638
0.080290496,-0.770011961,0.639162123
0.080413832,-0.769312799,0.639992952
0.080537168,-0.768612802,0.640822947
0.080660496,-0.767911851,0.641652107
0.080783832,-0.767209947,0.642480552
0.080907168,-0.766507208,0.643308282
0.081030504,-0.765803337,0.644135237
0.08115384,-0.765098631,0.644961238
0.081277168,-0.764393032,0.645786941
0.081400504,-0.763686538,0.646611571
0.08152384,-0.76297909,0.647435486
0.081647176,-0.76227051,0.648258626
0.081770504,-0.761561394,0.649080753
0.08189384,-0.760851026,0.649902463
0.082017176,-0.760139883,0.650723338
0.082140512,-0.759427726,0.651543379
0.08226384,-0.758714676,0.652362704
0.082387176,-0.758000791,0.653181314
0.082510512,-0.757285893,0.653998971
0.082633848,-0.756569862,0.654815912
0.082757176,-0.755853295,0.655632198
0.082880512,-0.755135655,0.656447589
0.083003848,-0.754417181,0.657262385
0.083127184,-0.753697574,0.658076346
0.083250512,-0.752977192,0.658889472
0.083373848,-0.752255857,0.659701884
0.083497184,-0.751533568,0.660513639
0.08362052,-0.750810385,0.661324382
0.083743856,-0.750086308,0.662134409
0.083867184,-0.749361217,0.66294384
0.08399052,-0.748635352,0.663752437
0.084113856,-0.747908473,0.66456002
0.084237192,-0.747180641,0.665367067
0.08436052,-0.746451974,0.666173518
0.084483856,-0.745722413,0.666978896
0.084607192,-0.744991839,0.667783618
0.084730528,-0.744260371,0.668587506
0.084853856,-0.743528008,0.669390798
0.084977192,-0.742794871,0.670193136
0.085100528,-0.742060542,0.670994878
0.085223864,-0.741325438,0.671795607
0.085347192,-0.740589321,0.672595739
0.085470528,-0.739852488,0.673394978
0.085593864,-0.739114463,0.674193621
0.0857172,-0.738375783,0.67499131
0.085840528,-0.73763603,0.675788283
0.085963864,-0.736895442,0.676584482
0.0860872,-0.73615396,0.677379727
0.086210536,-0.735411346,0.678174555
0.086333872,-0.734667957,0.67896831
0.0864572,-0.733923733,0.679761291
0.086580536,-0.733178496,0.680553615
0.086703872,-0.732432485,0.681345284
0.086827208,-0.73168534,0.68213588
0.086950536,-0.730937362,0.68292582
0.087073872,-0.730188489,0.683715105
0.087197208,-0.729438722,0.684503376
0.087320544,-0.728687882,0.685290992
0.087443872,-0.727936387,0.686077714
0.087567208,-0.727183819,0.68686378
0.087690544,-0.726430237,0.687648952
0.08781388,-0.725675821,0.688433349
0.087937208,-0.724920571,0.68921715
0.088060544,-0.724164248,0.689999938
0.08818388,-0.723407269,0.690782011
0.088307216,-0.722649097,0.691563189
0.088430544,-0.721890271,0.692343593
0.08855388,-0.721130252,0.693123162
0.088677216,-0.720369518,0.693901956
